time,open,high,low,close,volume
2024-11-29 04:00:00+00:00,2.0,3.975,2.0,3.68,41305661.77
2024-11-29 08:00:00+00:00,3.6501,4.61,3.65,4.53,45451952.39
2024-11-29 12:00:00+00:00,4.5545,5.3842,4.2444,5.3825,24258635.44
2024-11-29 16:00:00+00:00,5.3834,6.2451,4.96,5.6419,18144166.28
2024-11-29 20:00:00+00:00,5.6575,6.61,5.6216,6.252,12234485.48
2024-11-30 00:00:00+00:00,6.2302,7.1182,6.1613,6.9027,8530264.92
2024-11-30 04:00:00+00:00,6.9113,7.2677,6.15,6.831,8332152.87
2024-11-30 08:00:00+00:00,6.8427,7.6641,6.3544,7.5743,5743201.45
2024-11-30 12:00:00+00:00,7.5742,8.8586,7.19,8.5286,11288617.69
2024-11-30 16:00:00+00:00,8.5067,8.9374,7.8,8.5864,9286594.27
2024-11-30 20:00:00+00:00,8.5862,8.94,8.2374,8.4985,4181987.9
2024-12-01 00:00:00+00:00,8.4961,9.748,8.1,9.7195,8341157.46
2024-12-01 04:00:00+00:00,9.6998,9.8687,9.33,9.4057,5208732.87
2024-12-01 08:00:00+00:00,9.429,9.847,8.92,9.2179,6314648.42
2024-12-01 12:00:00+00:00,9.2179,9.5351,8.2569,8.981,7048659.88
2024-12-01 16:00:00+00:00,8.991,9.4532,8.275,9.1837,5676760.6
2024-12-01 20:00:00+00:00,9.1826,9.4975,8.9362,9.4686,2220692.51
2024-12-02 00:00:00+00:00,9.4676,9.654,8.5069,8.5213,4625483.26
2024-12-02 04:00:00+00:00,8.521,9.2496,7.9849,9.1728,6210855.65
2024-12-02 08:00:00+00:00,9.1607,9.1903,8.2213,8.7347,3550359.63
2024-12-02 12:00:00+00:00,8.7347,8.95,8.0946,8.1877,4673822.65
2024-12-02 16:00:00+00:00,8.1954,8.7518,7.1781,8.5045,11395811.44
2024-12-02 20:00:00+00:00,8.5124,8.5727,7.925,8.4277,2771343.24
2024-12-03 00:00:00+00:00,8.4208,8.718,7.7374,8.5991,4295381.53
2024-12-03 04:00:00+00:00,8.5903,9.45,8.5901,9.0544,3634908.13
2024-12-03 08:00:00+00:00,9.0543,9.39,8.722,8.9457,2697385.29
2024-12-03 12:00:00+00:00,8.9451,9.3585,8.4694,9.1312,3892087.38
2024-12-03 16:00:00+00:00,9.147,9.4,9.044,9.3919,2232369.01
2024-12-03 20:00:00+00:00,9.3999,11.8,9.2801,11.082,7289673.88
2024-12-04 00:00:00+00:00,11.076,12.332,10.731,12.329,3819355.68
2024-12-04 04:00:00+00:00,12.316,12.95,11.8,12.157,4399537.31
2024-12-04 08:00:00+00:00,12.153,13.22,11.76,12.714,3530978.81
2024-12-04 12:00:00+00:00,12.707,12.99,11.11,11.41,5357408.12
2024-12-04 16:00:00+00:00,11.401,12.354,10.707,11.182,4837664.92
2024-12-04 20:00:00+00:00,11.184,12.337,10.81,11.403,2949115.0
2024-12-05 00:00:00+00:00,11.395,12.461,10.405,12.45,3941551.86
2024-12-05 04:00:00+00:00,12.45,13.267,11.8,13.239,3074360.33
2024-12-05 08:00:00+00:00,13.247,13.95,12.967,13.498,4422177.55
2024-12-05 12:00:00+00:00,13.498,13.698,12.395,12.709,3337601.3
2024-12-05 16:00:00+00:00,12.72,13.199,12.1,12.13,1962031.38
2024-12-05 20:00:00+00:00,12.13,12.942,11.27,12.71,4488486.88
2024-12-06 00:00:00+00:00,12.685,13.647,12.582,13.362,2654145.26
2024-12-06 04:00:00+00:00,13.362,13.55,12.891,13.072,1656471.08
2024-12-06 08:00:00+00:00,13.065,13.43,12.4,12.646,1810014.87
2024-12-06 12:00:00+00:00,12.637,13.776,12.29,13.773,2794109.29
2024-12-06 16:00:00+00:00,13.772,14.241,13.32,13.852,2364095.89
2024-12-06 20:00:00+00:00,13.862,14.39,13.2,13.829,1977759.45
2024-12-07 00:00:00+00:00,13.829,14.798,13.5,14.787,1383382.14
2024-12-07 04:00:00+00:00,14.789,15.0,14.35,14.519,2219296.71
2024-12-07 08:00:00+00:00,14.533,14.9,14.12,14.289,1526272.16
2024-12-07 12:00:00+00:00,14.289,15.0,14.1,14.403,1904461.85
2024-12-07 16:00:00+00:00,14.402,14.88,13.75,14.664,2122822.15
2024-12-07 20:00:00+00:00,14.664,14.819,13.951,14.117,1616792.15
2024-12-08 00:00:00+00:00,14.12,14.321,13.451,14.213,2313187.85
2024-12-08 04:00:00+00:00,14.202,14.218,13.451,13.889,1035200.29
2024-12-08 08:00:00+00:00,13.889,13.991,13.434,13.922,1240361.1
2024-12-08 12:00:00+00:00,13.921,14.516,13.901,14.475,997897.4
2024-12-08 16:00:00+00:00,14.471,14.737,13.794,13.853,1419906.84
2024-12-08 20:00:00+00:00,13.863,14.48,13.701,14.02,1152417.59
2024-12-09 00:00:00+00:00,14.016,14.454,13.469,13.604,1763700.75
2024-12-09 04:00:00+00:00,13.601,13.769,12.5,13.447,3237724.15
2024-12-09 08:00:00+00:00,13.455,13.7,12.366,12.508,2502588.04
2024-12-09 12:00:00+00:00,12.505,13.562,12.379,12.639,2539764.57
2024-12-09 16:00:00+00:00,12.64,13.376,12.347,12.711,2002445.99
2024-12-09 20:00:00+00:00,12.721,13.688,11.939,13.541,5370311.69
2024-12-10 00:00:00+00:00,13.538,13.653,12.61,13.051,2154908.5
2024-12-10 04:00:00+00:00,13.07,13.888,12.72,13.7,1449533.31
2024-12-10 08:00:00+00:00,13.701,14.519,13.577,14.346,1507174.14
2024-12-10 12:00:00+00:00,14.346,14.417,12.905,12.955,2321377.64
2024-12-10 16:00:00+00:00,12.956,13.66,12.57,13.194,3634021.54
2024-12-10 20:00:00+00:00,13.194,14.0,12.898,13.562,2154897.61
2024-12-11 00:00:00+00:00,13.558,13.9,13.0,13.793,1503234.41
2024-12-11 04:00:00+00:00,13.799,13.971,13.21,13.524,1166974.73
2024-12-11 08:00:00+00:00,13.524,14.385,13.515,14.244,1038686.05
2024-12-11 12:00:00+00:00,14.249,15.774,14.135,15.515,2875246.14
2024-12-11 16:00:00+00:00,15.508,16.55,15.118,16.294,3427119.21
2024-12-11 20:00:00+00:00,16.294,16.55,15.796,16.115,1279790.26
2024-12-12 00:00:00+00:00,16.106,16.55,15.59,16.328,1302226.27
2024-12-12 04:00:00+00:00,16.341,18.141,16.244,17.667,3322049.48
2024-12-12 08:00:00+00:00,17.667,18.222,17.453,17.827,1874353.37
2024-12-12 12:00:00+00:00,17.827,18.773,17.6,18.18,2731789.93
2024-12-12 16:00:00+00:00,18.19,18.7,17.17,17.47,2501436.35
2024-12-12 20:00:00+00:00,17.477,18.477,17.268,18.041,1715243.86
2024-12-13 00:00:00+00:00,18.041,18.185,17.255,17.787,1126915.59
2024-12-13 04:00:00+00:00,17.786,17.834,16.941,17.357,1008587.31
2024-12-13 08:00:00+00:00,17.357,18.217,17.27,17.927,983219.83
2024-12-13 12:00:00+00:00,17.925,18.144,17.216,17.967,1436117.47
2024-12-13 16:00:00+00:00,17.962,19.468,17.709,19.413,3231912.96
2024-12-13 20:00:00+00:00,19.413,19.571,18.927,19.48,1612193.05
2024-12-14 00:00:00+00:00,19.482,21.485,19.0,20.92,3275725.85
2024-12-14 04:00:00+00:00,20.92,21.888,20.45,20.841,2409168.97
2024-12-14 08:00:00+00:00,20.822,21.957,20.069,20.499,2191638.06
2024-12-14 12:00:00+00:00,20.497,23.403,20.245,22.626,2670728.41
2024-12-14 16:00:00+00:00,22.625,23.69,22.0,22.889,3122492.95
2024-12-14 20:00:00+00:00,22.901,24.369,22.316,24.151,2050890.83
2024-12-15 00:00:00+00:00,24.151,24.994,23.063,23.905,2811850.83
2024-12-15 04:00:00+00:00,23.904,24.588,22.172,22.386,2894526.34
2024-12-15 08:00:00+00:00,22.386,24.0,21.429,21.839,3093937.6
2024-12-15 12:00:00+00:00,21.838,25.0,21.141,24.621,2816558.6
2024-12-15 16:00:00+00:00,24.621,25.033,23.374,23.633,1873752.05
2024-12-15 20:00:00+00:00,23.633,24.98,22.57,23.89,2032226.82
2024-12-16 00:00:00+00:00,23.879,24.96,23.01,24.138,1857991.23
2024-12-16 04:00:00+00:00,24.1,26.802,23.727,26.774,2580673.81
2024-12-16 08:00:00+00:00,26.774,27.25,25.25,25.758,2499501.61
