date,fee_total,fee_perp,fee_ma7,buyback_usd,buyback_ma7,price,ret_7d
2024-11-29,2497425.07,2491311.71,,,,6.25,335.33
2024-12-02,2313969.68,2044561.65,,,,8.43,221.69
2024-12-18,23328960.24,22544516.69,,,,23.22,26.04
2024-12-22,10580501.09,10215142.73,,,,28.46,-3.56
2024-12-23,1461253.23,1365510.43,,,,28.62,-5.83
2024-12-24,1368596.35,1318551.53,,,,29.78,-19.39
2024-12-25,1047430.85,1005566.03,6085448.07,,,26.54,-0.86
2024-12-26,1019238.0,985434.01,5874278.49,,,27.22,-14.9
2024-12-27,1633333.41,1591549.86,5777044.74,,,27.11,-9.84
2024-12-28,978675.75,950245.67,2584146.95,,,29.27,-14.5
2024-12-29,480409.76,449201.99,1141276.76,,,27.45,-11.09
2024-12-30,1530159.41,1481079.93,1151120.5,,,26.95,-6.39
2024-12-31,1371530.62,1328881.14,1151539.69,,,24.01,-2.13
2025-01-01,513195.56,482687.54,1075220.36,,,26.32,-14.5
2025-01-02,1315214.81,1273282.57,1117502.76,,,23.16,-12.48
2025-01-03,1407906.34,1371019.68,1085298.89,,,24.44,-15.5
2025-01-04,1079177.16,1053682.02,1099656.24,,,25.02,-16.54
2025-01-05,1013010.2,993846.35,1175742.01,,,24.4,-13.46
2025-01-06,1071471.74,1047920.15,1110215.2,,,25.23,-14.28
2025-01-07,2179525.5,2149311.24,1225643.04,,,23.5,-2.12
2025-01-08,1813215.98,1767942.63,1411360.25,,,22.5,8.34
2025-01-09,1972950.65,1926175.82,1505322.51,,,20.27,15.76
2025-01-10,1528359.65,1499972.97,1522530.13,,,20.65,11.79
2025-01-11,472579.05,457618.13,1435873.25,,,20.88,5.04
2025-01-12,479173.59,474568.57,1359610.88,,,21.12,-4.35
2025-01-13,2330484.78,2289981.29,1539469.89,,,21.63,-5.0
2025-01-14,1273120.85,1248748.51,1409983.51,,,23.0,0.8
2025-01-15,1260041.51,1236239.88,1330958.58,,,24.38,-0.31
2025-01-16,1705410.05,1686694.81,1292738.5,,,23.47,-6.37
2025-01-17,1698286.67,1677802.01,1317013.79,,,23.09,-0.13
2025-01-18,2829175.92,2776940.77,1653670.48,,,21.94,5.54
2025-01-19,4278948.03,4217634.99,2196495.4,,,20.2,9.36
2025-01-20,4097777.04,4063229.72,2448965.72,,,20.55,13.83
2025-01-21,2090596.86,2056410.3,2565748.01,,,23.18,-3.84
2025-01-22,1435423.41,1405005.53,2590802.57,,,24.3,-2.26
2025-01-23,2821436.65,2783278.11,2750234.94,,,21.98,23.9
2025-01-24,1299579.91,1275770.11,2693276.83,,,23.06,16.79
2025-01-25,1077471.92,1063049.3,2443033.4,,,23.15,0.16
2025-01-26,1048253.3,1032016.1,1981505.58,,,22.09,1.01
2025-01-27,2726671.15,2688547.84,1785633.31,,,23.39,7.65
2025-01-28,1527101.38,1500243.21,1705133.96,,,22.29,12.73
2025-01-29,1885265.27,1865284.47,1769397.08,,,23.75,4.24
2025-01-30,1458590.52,1419963.71,1574704.78,,,27.23,-12.45
2025-01-31,1776541.59,1745763.52,1642842.16,,,26.93,-15.21
2025-02-01,1420260.53,1380664.0,1691811.96,,,23.19,0.79
2025-02-02,2053558.56,2008742.06,1835427.0,,,22.31,2.95
2025-02-03,4268312.53,4204764.36,2055661.48,,,25.18,-7.35
2025-02-04,2529278.04,2491229.86,2198829.58,,,25.13,-6.48
2025-02-05,1433752.88,1405686.63,2134327.81,,,24.76,4.38
2025-02-06,1350582.15,1325840.07,2118898.04,,,23.84,10.22
2025-02-07,1543559.66,1517302.74,2085614.91,,,22.84,14.67
2025-02-08,798058.0,786002.19,1996728.83,,,23.37,10.05
2025-02-09,1004781.84,993995.86,1846903.59,,,22.97,16.66
2025-02-10,1135136.38,1123137.51,1399306.99,,,23.33,8.79
2025-02-11,1547969.97,1532352.15,1259120.13,,,23.5,2.49
2025-02-12,1803463.6,1785360.26,1311935.94,,,25.84,-6.88
2025-02-13,1225092.04,1210061.21,1294008.78,,,26.27,-6.94
2025-02-14,1220176.86,1190726.66,1247811.24,,,26.18,-4.54
2025-02-15,741948.98,724326.84,1239795.67,,,25.72,-3.64
2025-02-16,608265.35,599409.48,1183150.45,,,26.8,-13.67
2025-02-17,1320213.5,1301343.25,1209590.04,,,25.38,-21.65
2025-02-18,1654620.9,1598732.56,1224825.89,,,24.09,-16.15
2025-02-19,1009695.9,987639.47,1111430.5,,,24.06,-18.66
2025-02-20,1124109.27,1104633.82,1097004.39,,,24.45,-14.63
2025-02-21,2459079.79,2430607.55,1273990.53,,,24.99,-20.19
2025-02-22,898622.8,886199.39,1296372.5,,,24.78,-20.89
2025-02-23,753568.55,739684.48,1317130.1,,,23.13,-11.27
2025-02-24,1531740.15,1495241.39,1347348.19,,,19.88,-10.06
2025-02-25,3846701.15,3770379.02,1660502.52,,,20.2,-15.37
2025-02-26,2216900.84,2179961.49,1832960.36,,,19.57,-12.17
2025-02-27,1561749.52,1540246.73,1895480.4,,,20.87,-26.31
2025-02-28,2498326.88,2465460.29,1901087.13,,,19.95,-24.09
2025-03-01,1023541.26,1011013.03,1918932.62,,,19.61,-22.92
2025-03-02,2614494.14,2583445.53,2184779.13,,,20.53,-29.75
2025-03-03,2395717.19,2363474.67,2308204.43,,,17.88,-24.75
2025-03-04,2837829.15,2789913.03,2164079.85,,,17.09,-19.43
2025-03-05,1470721.03,1450673.99,2057482.74,,,17.19,-23.43
2025-03-06,1590492.52,1566335.63,2061588.88,,,15.38,-19.88
2025-03-07,2355898.02,2332221.83,2041241.9,,,15.14,-8.85
2025-03-08,601095.68,590258.09,1980892.53,,,15.11,-4.81
2025-03-09,1262038.72,1244105.14,1787684.62,,,14.42,-10.05
2025-03-10,2183515.91,2159029.81,1757370.15,,,13.46,-1.61
2025-03-11,1905813.52,1880709.95,1624225.06,,,13.77,2.9
2025-03-12,1566528.03,1540012.5,1637911.77,,,13.16,18.65
2025-03-13,1128839.83,1107197.67,1571961.39,,,12.32,14.8
2025-03-14,963621.7,946893.63,1373064.77,,,13.8,15.43
2025-03-15,625850.63,617967.54,1376601.19,,,14.38,8.28
2025-03-16,760552.46,750431.33,1304960.3,,,12.97,25.6
2025-03-17,894181.87,885387.43,1120769.72,,,13.24,26.59
2025-03-18,1119293.97,1111180.31,1008409.78,,,14.17,13.13
2025-03-19,1416624.4,1398091.03,986994.98,,,15.62,-9.97
2025-03-20,1162000.48,1147967.93,991732.22,1360250.11,,14.15,3.1
2025-03-21,858538.02,846171.55,976720.26,1031164.9,,15.93,-15.96
2025-03-22,529316.9,520879.47,962929.73,847303.18,,15.57,-17.82
