date,fee_total,fee_spot,fee_perp
2024-11-25,4585090.24,4837.87,4580252.37
2024-11-29,2497425.07,6113.36,2491311.71
2024-12-02,2313969.68,269408.03,2044561.65
2024-12-18,23328960.24,784443.55,22544516.69
2024-12-22,10580501.09,365358.36,10215142.73
2024-12-23,1461253.23,95742.8,1365510.43
2024-12-24,1368596.35,50044.83,1318551.53
2024-12-25,1047430.85,41864.83,1005566.03
2024-12-26,1019238.0,33803.99,985434.01
2024-12-27,1633333.41,41783.55,1591549.86
2024-12-28,978675.75,28430.07,950245.67
2024-12-29,480409.76,31207.78,449201.99
2024-12-30,1530159.41,49079.48,1481079.93
2024-12-31,1371530.62,42649.48,1328881.14
2025-01-01,513195.56,30508.02,482687.54
2025-01-02,1315214.81,41932.24,1273282.57
2025-01-03,1407906.34,36886.66,1371019.68
2025-01-04,1079177.16,25495.13,1053682.02
2025-01-05,1013010.2,19163.85,993846.35
2025-01-06,1071471.74,23551.59,1047920.15
2025-01-07,2179525.5,30214.26,2149311.24
2025-01-08,1813215.98,45273.34,1767942.63
2025-01-09,1972950.65,46774.83,1926175.82
2025-01-10,1528359.65,28386.69,1499972.97
2025-01-11,472579.05,14960.92,457618.13
2025-01-12,479173.59,4605.02,474568.57
2025-01-13,2330484.78,40503.49,2289981.29
2025-01-14,1273120.85,24372.34,1248748.51
2025-01-15,1260041.51,23801.63,1236239.88
2025-01-16,1705410.05,18715.24,1686694.81
2025-01-17,1698286.67,20484.66,1677802.01
2025-01-18,2829175.92,52235.15,2776940.77
2025-01-19,4278948.03,61313.04,4217634.99
2025-01-20,4097777.04,34547.32,4063229.72
2025-01-21,2090596.86,34186.57,2056410.3
2025-01-22,1435423.41,30417.87,1405005.53
2025-01-23,2821436.65,38158.54,2783278.11
2025-01-24,1299579.91,23809.8,1275770.11
2025-01-25,1077471.92,14422.63,1063049.3
2025-01-26,1048253.3,16237.21,1032016.1
2025-01-27,2726671.15,38123.31,2688547.84
2025-01-28,1527101.38,26858.17,1500243.21
2025-01-29,1885265.27,19980.79,1865284.47
2025-01-30,1458590.52,38626.81,1419963.71
2025-01-31,1776541.59,30778.07,1745763.52
2025-02-01,1420260.53,39596.53,1380664.0
2025-02-02,2053558.56,44816.5,2008742.06
2025-02-03,4268312.53,63548.17,4204764.36
2025-02-04,2529278.04,38048.18,2491229.86
2025-02-05,1433752.88,28066.25,1405686.63
2025-02-06,1350582.15,24742.08,1325840.07
2025-02-07,1543559.66,26256.92,1517302.74
2025-02-08,798058.0,12055.81,786002.19
2025-02-09,1004781.84,10785.98,993995.86
2025-02-10,1135136.38,11998.87,1123137.51
2025-02-11,1547969.97,15617.82,1532352.15
2025-02-12,1803463.6,18103.35,1785360.26
2025-02-13,1225092.04,15030.83,1210061.21
2025-02-14,1220176.86,29450.2,1190726.66
2025-02-15,741948.98,17622.15,724326.84
2025-02-16,608265.35,8855.87,599409.48
2025-02-17,1320213.5,18870.25,1301343.25
2025-02-18,1654620.9,55888.33,1598732.56
2025-02-19,1009695.9,22056.43,987639.47
2025-02-20,1124109.27,19475.45,1104633.82
2025-02-21,2459079.79,28472.24,2430607.55
2025-02-22,898622.8,12423.41,886199.39
2025-02-23,753568.55,13884.07,739684.48
2025-02-24,1531740.15,36498.77,1495241.39
2025-02-25,3846701.15,76322.13,3770379.02
2025-02-26,2216900.84,36939.35,2179961.49
2025-02-27,1561749.52,21502.79,1540246.73
2025-02-28,2498326.88,32866.58,2465460.29
2025-03-01,1023541.26,12528.23,1011013.03
2025-03-02,2614494.14,31048.6,2583445.53
2025-03-03,2395717.19,32242.52,2363474.67
2025-03-04,2837829.15,47916.12,2789913.03
2025-03-05,1470721.03,20047.04,1450673.99
2025-03-06,1590492.52,24156.89,1566335.63
2025-03-07,2355898.02,23676.19,2332221.83
2025-03-08,601095.68,10837.59,590258.09
2025-03-09,1262038.72,17933.58,1244105.14
2025-03-10,2183515.91,24486.1,2159029.81
2025-03-11,1905813.52,25103.57,1880709.95
2025-03-12,1566528.03,26515.53,1540012.5
2025-03-13,1128839.83,21642.16,1107197.67
2025-03-14,963621.7,16728.07,946893.63
2025-03-15,625850.63,7883.1,617967.54
2025-03-16,760552.46,10121.13,750431.33
2025-03-17,894181.87,8794.44,885387.43
2025-03-18,1119293.97,8113.66,1111180.31
2025-03-19,1416624.4,18533.37,1398091.03
2025-03-20,1162000.48,14032.55,1147967.93
2025-03-21,858538.02,12366.47,846171.55
2025-03-22,529316.9,8437.42,520879.47
2025-03-23,559165.24,6473.68,552691.56
2025-03-24,1251644.41,19269.47,1232374.94
2025-03-25,982667.57,11524.51,971143.06
2025-03-26,1126009.33,61959.99,1064049.34
2025-03-27,828989.26,11995.84,816993.42
2025-03-28,1104260.46,18514.73,1085745.73
2025-03-29,789049.24,12539.27,776509.97
2025-03-30,679323.6,7490.08,671833.52
2025-03-31,1303538.42,12648.15,1290890.27
2025-04-01,1181712.4,9205.86,1172506.54
2025-04-02,1895282.28,22319.17,1872963.11
2025-04-03,1383529.93,18495.78,1365034.14
2025-04-04,1808044.26,17385.87,1790658.39
2025-04-05,548034.36,6278.5,541755.86
2025-04-06,1740788.65,18086.87,1722701.77
2025-04-07,3141695.37,36200.89,3105494.48
2025-04-08,1754289.21,20990.17,1733299.04
2025-04-09,2832320.8,36443.96,2795876.84
2025-04-10,1684709.61,23134.93,1661574.69
2025-04-11,1327533.61,24450.4,1303083.21
2025-04-12,1141450.77,15657.54,1125793.23
2025-04-13,1371714.49,18725.55,1352988.94
2025-04-14,1356370.64,17440.51,1338930.13
2025-04-15,1243272.7,16073.2,1227199.5
2025-04-16,1491909.02,20956.56,1470952.46
2025-04-17,1080430.71,20317.45,1060113.26
2025-04-18,515595.19,12845.33,502749.86
2025-04-19,579530.25,12658.99,566871.26
2025-04-20,657878.84,10763.1,647115.75
2025-04-21,1472821.43,20972.65,1451848.77
2025-04-22,2196561.46,20504.92,2176056.54
2025-04-23,1984462.21,24604.18,1959858.03
