date,hype_qty,usd_value,fill_count,avg_px
2026-02-20,1556.23,46904.96,23,30.1401
2026-02-21,15989.08,480305.61,199,30.0396
2026-02-22,17061.87,499784.37,197,29.2925
2026-02-23,61804.39,1677581.49,670,27.1434
2026-02-24,56627.02,1504442.84,602,26.5676
2026-02-25,73308.59,2052626.37,847,27.9998
2026-02-26,47694.42,1355622.59,571,28.4231
2026-02-27,42820.70,1211338.11,514,28.2886
2026-02-28,63312.69,1789064.00,637,28.2576
2026-03-01,47566.56,1479605.77,632,31.1060
2026-03-02,59486.37,1907544.95,728,32.0669
2026-03-03,59535.41,1903442.72,708,31.9716
2026-03-04,71226.74,2299342.89,1062,32.2820
2026-03-05,52344.29,1641375.12,686,31.3573
2026-03-06,59876.07,1812066.36,618,30.2636
2026-03-07,22724.00,693965.07,265,30.5389
2026-03-08,38145.32,1158462.68,504,30.3697
2026-03-09,58749.90,1901112.82,795,32.3594
2026-03-10,47427.50,1630566.81,660,34.3802
2026-03-11,38667.59,1381908.42,576,35.7382
2026-03-12,36003.00,1336967.02,594,37.1349
2026-03-13,48425.40,1797370.38,681,37.1163
2026-03-14,16548.58,619271.78,243,37.4214
2026-03-15,24256.06,906273.91,446,37.3628
2026-03-16,51515.41,2021215.80,766,39.2352
2026-03-17,41984.51,1710192.30,603,40.7339
2026-03-18,45441.32,1891661.79,654,41.6287
2026-03-19,47445.16,1894099.35,628,39.9219
2026-03-20,35011.36,1380645.00,465,39.4342
2026-03-21,13711.32,544237.80,240,39.6926
2026-03-22,13077.79,507889.44,190,38.8360
